Actual,Baseline_12MA,Date,Exp_Smoothing
92217.26408838255,109952.28949832839,2023-01-01,84161.23367219402
91695.06369324106,92217.26408838255,2023-02-01,76245.31097900233
83476.04826985742,91956.1638908118,2023-03-01,81544.60085697313
92501.07202290393,89129.458683827,2023-04-01,108335.63574563173
105498.3148223551,89972.36201859624,2023-05-01,104311.95105690959
114804.84910775418,93077.552579348,2023-06-01,106108.0736320705
114250.38666355736,96698.76866741572,2023-07-01,120219.98679169302
127920.13195218363,99206.14266686453,2023-08-01,113316.20360186124
115499.92677368724,102795.3913275294,2023-09-01,121191.96874098272
143464.5574198978,104207.0063771025,2023-10-01,127946.05954624811
141288.14986748286,108132.76148138203,2023-11-01,117329.06064355659
149623.34596543963,111146.88769830028,2023-12-01,129103.60090918526
